Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
molecules2,170124_Blk_ProcessBlk_1,"DL-Alanine, D3",11.11,18944276,0,1426572,5.4,molecules2
molecules2,170124_Blk_ProcessBlk_2,"DL-Alanine, D3",11.09,16405663,0,1278792,5.5,molecules2
molecules2,170124_Blk_ProcessBlk_3,"DL-Alanine, D3",11.11,16860798,215472,1302430,5.4,molecules2
molecules2,170124_Poo_Jan24_AqExtracts_FS_1,"DL-Alanine, D3",11.15,19571750,143344,2128233,5.4,molecules2
molecules2,170124_Poo_Jan24_AqExtracts_FS_2,"DL-Alanine, D3",11.12,21849480,214542,2485065,5.8,molecules2
molecules2,170124_Poo_Jan24_AqExtracts_FS_3,"DL-Alanine, D3",11.14,22514036,60052,2457966,5.6,molecules2
molecules2,170124_Poo_Jan25_AqExtracts_FS_1,"DL-Alanine, D3",11.06,17749238,95950,2278786,5.9,molecules2
molecules2,170124_Poo_Jan25_AqExtracts_FS_2,"DL-Alanine, D3",11.06,17666078,0,2072403,5.8,molecules2
molecules2,170124_Poo_Jan25_AqExtracts_FS_3,"DL-Alanine, D3",11.06,16762999,0,1974449,5.3,molecules2
molecules2,170124_Smp_Pro9312_A,"DL-Alanine, D3",11.14,20713902,289643,2202725,5.4,molecules2
molecules2,170124_Smp_Pro9312_B,"DL-Alanine, D3",11.15,21673752,309372,2298828,5.5,molecules2
molecules2,170124_Smp_Pro9312_C,"DL-Alanine, D3",11.15,22571000,191157,2369057,5.4,molecules2
molecules2,170124_Smp_Pro9313_A,"DL-Alanine, D3",11.15,18038084,0,1937571,6,molecules2
molecules2,170124_Smp_Pro9313_B,"DL-Alanine, D3",11.13,18962452,53441,2148866,5.8,molecules2
molecules2,170124_Smp_Pro9313_C,"DL-Alanine, D3",11.12,16854416,198465,1868211,5.5,molecules2
molecules2,170124_Smp_Vesicle9312_1,"DL-Alanine, D3",11.09,17295356,0,2205685,5.5,molecules2
molecules2,170124_Smp_Vesicle9312_2,"DL-Alanine, D3",11.07,17455318,92104,2112641,5.5,molecules2
molecules2,170124_Smp_Vesicle9312_3,"DL-Alanine, D3",11.06,17812988,208419,2107200,5.8,molecules2
molecules2,170124_Smp_Vesicle9313_1,"DL-Alanine, D3",11.09,16789718,259548,2179401,5.5,molecules2
molecules2,170124_Smp_Vesicle9313_2,"DL-Alanine, D3",11.07,16692491,83222,2053169,5.9,molecules2
molecules2,170124_Smp_Vesicle9313_3,"DL-Alanine, D3",11.07,17803180,100156,2085813,5.5,molecules2
molecules2,170124_Blk_ProcessBlk_1,"DL-Histidine, 15N",11.17,6475425,0,268936,0.8,molecules2
molecules2,170124_Blk_ProcessBlk_2,"DL-Histidine, 15N",11.17,5706389,0,237965,1.1,molecules2
molecules2,170124_Blk_ProcessBlk_3,"DL-Histidine, 15N",11.16,5982723,0,257012,0.8,molecules2
molecules2,170124_Poo_Jan24_AqExtracts_FS_1,"DL-Histidine, 15N",11.17,22114982,0,879864,0.3,molecules2
molecules2,170124_Poo_Jan24_AqExtracts_FS_2,"DL-Histidine, 15N",11.12,24798342,129620,1008632,0.5,molecules2
molecules2,170124_Poo_Jan24_AqExtracts_FS_3,"DL-Histidine, 15N",11.15,25006076,524214,918146,0.3,molecules2
molecules2,170124_Poo_Jan25_AqExtracts_FS_1,"DL-Histidine, 15N",10.95,7256363,0,529931,0.9,molecules2
molecules2,170124_Poo_Jan25_AqExtracts_FS_2,"DL-Histidine, 15N",10.95,7313467,0,554165,1,molecules2
molecules2,170124_Poo_Jan25_AqExtracts_FS_3,"DL-Histidine, 15N",10.92,7143364,0,564418,0.5,molecules2
molecules2,170124_Smp_Pro9312_A,"DL-Histidine, 15N",11.18,19749980,65555,1492631,0.4,molecules2
molecules2,170124_Smp_Pro9312_B,"DL-Histidine, 15N",11.2,21855462,0,1650854,0.5,molecules2
molecules2,170124_Smp_Pro9312_C,"DL-Histidine, 15N",11.2,23155176,193893,1730842,0.4,molecules2
molecules2,170124_Smp_Pro9313_A,"DL-Histidine, 15N",11.42,24435304,182953,681172,0.6,molecules2
molecules2,170124_Smp_Pro9313_B,"DL-Histidine, 15N",11.43,20647234,0,555576,0.6,molecules2
molecules2,170124_Smp_Pro9313_C,"DL-Histidine, 15N",11.21,15003796,0,397231,0.7,molecules2
molecules2,170124_Smp_Vesicle9312_1,"DL-Histidine, 15N",11.01,7320271,0,470316,0.6,molecules2
molecules2,170124_Smp_Vesicle9312_2,"DL-Histidine, 15N",11.01,7285454,0,529927,0.7,molecules2
molecules2,170124_Smp_Vesicle9312_3,"DL-Histidine, 15N",10.96,8125317,0,549359,1,molecules2
molecules2,170124_Smp_Vesicle9313_1,"DL-Histidine, 15N",11.03,7161565,0,515976,0.7,molecules2
molecules2,170124_Smp_Vesicle9313_2,"DL-Histidine, 15N",10.96,7250615,0,493173,1,molecules2
molecules2,170124_Smp_Vesicle9313_3,"DL-Histidine, 15N",11.01,7993298,0,531334,0.6,molecules2
molecules2,170124_Blk_ProcessBlk_1,"L-Isoleucine, 15N",7.9,17259916,0,1187141,1.8,molecules2
molecules2,170124_Blk_ProcessBlk_2,"L-Isoleucine, 15N",7.91,15914733,0,1146434,1.9,molecules2
molecules2,170124_Blk_ProcessBlk_3,"L-Isoleucine, 15N",7.91,15562630,0,1122363,1.5,molecules2
molecules2,170124_Poo_Jan24_AqExtracts_FS_1,"L-Isoleucine, 15N",7.96,5998043,0,494723,2,molecules2
molecules2,170124_Poo_Jan24_AqExtracts_FS_2,"L-Isoleucine, 15N",8.01,6739422,0,475666,2.2,molecules2
molecules2,170124_Poo_Jan24_AqExtracts_FS_3,"L-Isoleucine, 15N",8,6635296,0,458535,2.7,molecules2
molecules2,170124_Poo_Jan25_AqExtracts_FS_1,"L-Isoleucine, 15N",7.75,17085476,0,732896,1.4,molecules2
molecules2,170124_Poo_Jan25_AqExtracts_FS_2,"L-Isoleucine, 15N",7.76,16720328,0,698457,1.7,molecules2
molecules2,170124_Poo_Jan25_AqExtracts_FS_3,"L-Isoleucine, 15N",7.76,15965959,0,677574,1.5,molecules2
molecules2,170124_Smp_Pro9312_A,"L-Isoleucine, 15N",7.95,16547065,0,884453,1.9,molecules2
molecules2,170124_Smp_Pro9312_B,"L-Isoleucine, 15N",7.94,17059794,0,920691,1.7,molecules2
molecules2,170124_Smp_Pro9312_C,"L-Isoleucine, 15N",7.95,17215266,0,885753,1.7,molecules2
