Hello! Welcome to the world of QE Quality Control! Minimum area for a real peak: 40000. RT flexibility: 1. Blank can be this fraction of a sample: 10. S/N ratio: 5. Parts per million flexibility: 6. Processed on: 2020-09-04 14:10:15. 
"","Replicate.Name","Precursor.Ion.Name","Retention.Time","Area","Background","Height","Mass.Error.PPM","SNFlag","ppmFlag","areaminFlag","RT_ref","RTFlag","Blank.Area","Poo.Name","Fraction","BlankFlag","Flags","QC_area"
"1","170124_Smp_Pro9312_A","Aconitic Acid",15.23,1040565,0,"78807",1.2,NA,NA,NA,14.705,NA,197949,"170124_Poo_Jan24_AqExtracts_FS_3","HILIC","BlankFlag","BlankFlag",NA
"2","170124_Smp_Pro9312_B","Aconitic Acid",15.13,2395618,0,"121089",1.2,NA,NA,NA,14.705,NA,197949,"170124_Poo_Jan24_AqExtracts_FS_3","HILIC",NA,"",2395618
"3","170124_Smp_Pro9312_C","Aconitic Acid",15.09,2966629,0,"126162",0.5,NA,NA,NA,14.705,NA,197949,"170124_Poo_Jan24_AqExtracts_FS_3","HILIC",NA,"",2966629
"4","170124_Smp_Pro9313_A","Aconitic Acid",15.15,1744144,0,"120872",0.8,NA,NA,NA,14.705,NA,197949,"170124_Poo_Jan24_AqExtracts_FS_3","HILIC","BlankFlag","BlankFlag",NA
"5","170124_Smp_Pro9313_B","Aconitic Acid",15.14,1980919,0,"119642",0.7,NA,NA,NA,14.705,NA,197949,"170124_Poo_Jan24_AqExtracts_FS_3","HILIC",NA,"",1980919
"6","170124_Smp_Pro9313_C","Aconitic Acid",15.06,137047,0,"30277",4.6,NA,NA,NA,14.705,NA,197949,"170124_Poo_Jan24_AqExtracts_FS_3","HILIC","BlankFlag","BlankFlag",NA
"7","170124_Smp_Vesicle9312_1","Aconitic Acid",14.66,1411273,0,"224801",-0.1,NA,NA,NA,14.705,NA,677903,"170124_Poo_Jan25_AqExtracts_FS_1","HILIC","BlankFlag","BlankFlag",NA
"8","170124_Smp_Vesicle9312_2","Aconitic Acid",11.74,123598,0,"24401",4.4,NA,NA,NA,14.705,"RTFlag",677903,"170124_Poo_Jan25_AqExtracts_FS_1","HILIC","BlankFlag","RTFlag, BlankFlag",NA
"9","170124_Smp_Vesicle9312_3","Aconitic Acid",14.68,1342893,0,"190103",-0.1,NA,NA,NA,14.705,NA,677903,"170124_Poo_Jan25_AqExtracts_FS_1","HILIC","BlankFlag","BlankFlag",NA
"10","170124_Smp_Vesicle9313_1","Aconitic Acid",17.1,85594,0,"23864",7.4,NA,"ppmFlag",NA,14.705,"RTFlag",677903,"170124_Poo_Jan25_AqExtracts_FS_1","HILIC","BlankFlag","ppmFlag, RTFlag, BlankFlag",NA
"11","170124_Smp_Vesicle9313_2","Aconitic Acid",19.86,95400,0,"22099",4.6,NA,NA,NA,14.705,"RTFlag",677903,"170124_Poo_Jan25_AqExtracts_FS_1","HILIC","BlankFlag","RTFlag, BlankFlag",NA
"12","170124_Smp_Vesicle9313_3","Aconitic Acid",17.2,214137,0,"33365",7,NA,"ppmFlag",NA,14.705,"RTFlag",677903,"170124_Poo_Jan25_AqExtracts_FS_1","HILIC","BlankFlag","ppmFlag, RTFlag, BlankFlag",NA
"13","170124_Smp_Pro9312_A","ADP",16.07,10161819,0,"194683",3.4,NA,NA,NA,15.045,"RTFlag",0,"170124_Poo_Jan24_AqExtracts_FS_1","HILIC",NA,"RTFlag, ",NA
"14","170124_Smp_Pro9312_B","ADP",16.38,6799479,0,"159822",3.3,NA,NA,NA,15.045,"RTFlag",0,"170124_Poo_Jan24_AqExtracts_FS_1","HILIC",NA,"RTFlag, ",NA
"15","170124_Smp_Pro9312_C","ADP",15.98,21480702,0,"290960",3.4,NA,NA,NA,15.045,NA,0,"170124_Poo_Jan24_AqExtracts_FS_1","HILIC",NA,"",21480702
"16","170124_Smp_Pro9313_A","ADP",15.76,33321594,0,"392129",3.4,NA,NA,NA,15.045,NA,0,"170124_Poo_Jan24_AqExtracts_FS_1","HILIC",NA,"",33321594
"17","170124_Smp_Pro9313_B","ADP",15.92,18448318,0,"265101",3.4,NA,NA,NA,15.045,NA,0,"170124_Poo_Jan24_AqExtracts_FS_1","HILIC",NA,"",18448318
"18","170124_Smp_Pro9313_C","ADP",16.34,4512716,0,"107339",3,NA,NA,NA,15.045,"RTFlag",0,"170124_Poo_Jan24_AqExtracts_FS_1","HILIC",NA,"RTFlag, ",NA
"19","170124_Smp_Vesicle9312_1","ADP",3.8,11589,0,"9394",0.5,NA,NA,"areaminFlag",15.045,"RTFlag",34259,"170124_Poo_Jan25_AqExtracts_FS_2","HILIC","BlankFlag","areaminFlag, RTFlag, BlankFlag",NA
"20","170124_Smp_Vesicle9312_2","ADP",17.66,19113,0,"12469",-0.5,NA,NA,"areaminFlag",15.045,"RTFlag",34259,"170124_Poo_Jan25_AqExtracts_FS_2","HILIC","BlankFlag","areaminFlag, RTFlag, BlankFlag",NA
"21","170124_Smp_Vesicle9312_3","ADP",NA,NA,NA,"#N/A",NA,NA,NA,NA,15.045,NA,34259,"170124_Poo_Jan25_AqExtracts_FS_2","HILIC",NA,"",NA
"22","170124_Smp_Vesicle9313_1","ADP",NA,NA,NA,"#N/A",NA,NA,NA,NA,15.045,NA,34259,"170124_Poo_Jan25_AqExtracts_FS_2","HILIC",NA,"",NA
"23","170124_Smp_Vesicle9313_2","ADP",NA,NA,NA,"#N/A",NA,NA,NA,NA,15.045,NA,34259,"170124_Poo_Jan25_AqExtracts_FS_2","HILIC",NA,"",NA
"24","170124_Smp_Vesicle9313_3","ADP",5.79,9525,0,"7529",-7.1,NA,"ppmFlag","areaminFlag",15.045,"RTFlag",34259,"170124_Poo_Jan25_AqExtracts_FS_2","HILIC","BlankFlag","ppmFlag, areaminFlag, RTFlag, BlankFlag",NA
"25","170124_Smp_Pro9312_A","AMP",11.95,101138256,0,"7628078",3,NA,NA,NA,11.5975,NA,0,"170124_Poo_Jan24_AqExtracts_FS_1","HILIC",NA,"",101138256
"26","170124_Smp_Pro9312_B","AMP",11.93,139223216,1497245,"10161486",3.1,NA,NA,NA,11.5975,NA,0,"170124_Poo_Jan24_AqExtracts_FS_1","HILIC",NA,"",139223216
"27","170124_Smp_Pro9312_C","AMP",11.95,87001336,601307,"6393039",3.2,NA,NA,NA,11.5975,NA,0,"170124_Poo_Jan24_AqExtracts_FS_1","HILIC",NA,"",87001336
"28","170124_Smp_Pro9313_A","AMP",11.96,43294032,484881,"3314764",2.8,NA,NA,NA,11.5975,NA,0,"170124_Poo_Jan24_AqExtracts_FS_1","HILIC",NA,"",43294032
"29","170124_Smp_Pro9313_B","AMP",11.92,31048574,406936,"2206987",2.8,NA,NA,NA,11.5975,NA,0,"170124_Poo_Jan24_AqExtracts_FS_1","HILIC",NA,"",31048574
"30","170124_Smp_Pro9313_C","AMP",11.95,12796097,0,"908180",2.6,NA,NA,NA,11.5975,NA,0,"170124_Poo_Jan24_AqExtracts_FS_1","HILIC",NA,"",12796097
"31","170124_Smp_Vesicle9312_1","AMP",13.55,28855,0,"17620",1.8,NA,NA,"areaminFlag",11.5975,"RTFlag",112698,"170124_Poo_Jan25_AqExtracts_FS_1","HILIC","BlankFlag","areaminFlag, RTFlag, BlankFlag",NA
"32","170124_Smp_Vesicle9312_2","AMP",13.67,45023,0,"24335",1,NA,NA,NA,11.5975,"RTFlag",112698,"170124_Poo_Jan25_AqExtracts_FS_1","HILIC","BlankFlag","RTFlag, BlankFlag",NA
"33","170124_Smp_Vesicle9312_3","AMP",13.37,94369,0,"31714",2.6,NA,NA,NA,11.5975,"RTFlag",112698,"170124_Poo_Jan25_AqExtracts_FS_1","HILIC","BlankFlag","RTFlag, BlankFlag",NA
"34","170124_Smp_Vesicle9313_1","AMP",15.04,55605,0,"23334",0.6,NA,NA,NA,11.5975,"RTFlag",112698,"170124_Poo_Jan25_AqExtracts_FS_1","HILIC","BlankFlag","RTFlag, BlankFlag",NA
"35","170124_Smp_Vesicle9313_2","AMP",14.47,52672,0,"27158",4.8,NA,NA,NA,11.5975,"RTFlag",112698,"170124_Poo_Jan25_AqExtracts_FS_1","HILIC","BlankFlag","RTFlag, BlankFlag",NA
"36","170124_Smp_Vesicle9313_3","AMP",13.39,46822,0,"45770",2.5,NA,NA,NA,11.5975,"RTFlag",112698,"170124_Poo_Jan25_AqExtracts_FS_1","HILIC","BlankFlag","RTFlag, BlankFlag",NA
"37","170124_Smp_Pro9312_A","Citric Acid",17.33,5979680,0,"107437",3.8,NA,NA,NA,16.2025,"RTFlag",402581,"170124_Poo_Jan24_AqExtracts_FS_1","HILIC",NA,"RTFlag, ",NA
"38","170124_Smp_Pro9312_B","Citric Acid",16.71,15698373,9280627,"132141",2.9,"SNFlag",NA,NA,16.2025,NA,402581,"170124_Poo_Jan24_AqExtracts_FS_1","HILIC",NA,"SNFlag, ",NA
"39","170124_Smp_Pro9312_C","Citric Acid",16.44,23923316,6474014,"184681",2.5,"SNFlag",NA,NA,16.2025,NA,402581,"170124_Poo_Jan24_AqExtracts_FS_1","HILIC",NA,"SNFlag, ",NA
"40","170124_Smp_Pro9313_A","Citric Acid",16.12,105920296,1058833,"916135",0.9,NA,NA,NA,16.2025,NA,402581,"170124_Poo_Jan24_AqExtracts_FS_1","HILIC",NA,"",105920296
"41","170124_Smp_Pro9313_B","Citric Acid",16.02,101788616,220942,"787498",1.2,NA,NA,NA,16.2025,NA,402581,"170124_Poo_Jan24_AqExtracts_FS_1","HILIC",NA,"",101788616
"42","170124_Smp_Pro9313_C","Citric Acid",16.78,24474806,1326971,"170243",3.2,NA,NA,NA,16.2025,NA,402581,"170124_Poo_Jan24_AqExtracts_FS_1","HILIC",NA,"",24474806
"43","170124_Smp_Vesicle9312_1","Citric Acid",17.08,978458,118810,"93658",2.7,NA,NA,NA,16.2025,NA,5213159,"170124_Poo_Jan25_AqExtracts_FS_1","HILIC","BlankFlag","BlankFlag",NA
"44","170124_Smp_Vesicle9312_2","Citric Acid",19.91,717289,0,"97625",6.4,NA,"ppmFlag",NA,16.2025,"RTFlag",5213159,"170124_Poo_Jan25_AqExtracts_FS_1","HILIC","BlankFlag","ppmFlag, RTFlag, BlankFlag",NA
"45","170124_Smp_Vesicle9312_3","Citric Acid",15.54,340186,0,"68206",2.1,NA,NA,NA,16.2025,NA,5213159,"170124_Poo_Jan25_AqExtracts_FS_1","HILIC","BlankFlag","BlankFlag",NA
