Hello! Welcome to the world of QE Quality Control! Minimum area for a real peak: 40000. RT flexibility: 1. Blank can be this fraction of a sample: 10. S/N ratio: 5. Parts per million flexibility: 6. Processed on: 2020-09-04 12:28:36. 
"","Replicate.Name","Precursor.Ion.Name","Retention.Time","Area","Background","Height","Mass.Error.PPM","SNFlag","ppmFlag","areaminFlag","RT_ref","RTFlag","Blank.Area","Poo.Name","Fraction","BlankFlag","Flags","QC_area"
"1","170124_Smp_Pro9312_A","Adenine",5.42,723758656,26941062,"38971736",-3.8,NA,NA,NA,5.4275,NA,2174964,"170124_Poo_Jan24_AqExtracts_FS_3","HILIC",NA,"",723758656
"2","170124_Smp_Pro9312_B","Adenine",5.45,1117826176,27289706,"60777268",-3.9,NA,NA,NA,5.4275,NA,2174964,"170124_Poo_Jan24_AqExtracts_FS_3","HILIC",NA,"",1117826176
"3","170124_Smp_Pro9312_C","Adenine",5.44,629641664,17230492,"33420982",-3.9,NA,NA,NA,5.4275,NA,2174964,"170124_Poo_Jan24_AqExtracts_FS_3","HILIC",NA,"",629641664
"4","170124_Smp_Pro9313_A","Adenine",5.45,1352570880,21388306,"62144592",-3.9,NA,NA,NA,5.4275,NA,2174964,"170124_Poo_Jan24_AqExtracts_FS_3","HILIC",NA,"",1352570880
"5","170124_Smp_Pro9313_B","Adenine",5.43,940712768,21202144,"46519696",-3.6,NA,NA,NA,5.4275,NA,2174964,"170124_Poo_Jan24_AqExtracts_FS_3","HILIC",NA,"",940712768
"6","170124_Smp_Pro9313_C","Adenine",5.45,556822400,19212764,"30220120",-3.7,NA,NA,NA,5.4275,NA,2174964,"170124_Poo_Jan24_AqExtracts_FS_3","HILIC",NA,"",556822400
"7","170124_Smp_Vesicle9312_1","Adenine",5.47,4914424,3395794,"292636",-3.8,"SNFlag",NA,NA,5.4275,NA,4445615,"170124_Poo_Jan25_AqExtracts_FS_2","HILIC","BlankFlag","SNFlag, BlankFlag",NA
"8","170124_Smp_Vesicle9312_2","Adenine",5.42,4676678,3499913,"282911",-3.6,"SNFlag",NA,NA,5.4275,NA,4445615,"170124_Poo_Jan25_AqExtracts_FS_2","HILIC","BlankFlag","SNFlag, BlankFlag",NA
"9","170124_Smp_Vesicle9312_3","Adenine",5.41,2141428,3305408,"124653",-3.4,"SNFlag",NA,NA,5.4275,NA,4445615,"170124_Poo_Jan25_AqExtracts_FS_2","HILIC","BlankFlag","SNFlag, BlankFlag",NA
"10","170124_Smp_Vesicle9313_1","Adenine",5.42,2095019,3325609,"120527",-3.8,"SNFlag",NA,NA,5.4275,NA,4445615,"170124_Poo_Jan25_AqExtracts_FS_2","HILIC","BlankFlag","SNFlag, BlankFlag",NA
"11","170124_Smp_Vesicle9313_2","Adenine",5.39,1112308,3924165,"81939",-3.3,"SNFlag",NA,NA,5.4275,NA,4445615,"170124_Poo_Jan25_AqExtracts_FS_2","HILIC","BlankFlag","SNFlag, BlankFlag",NA
"12","170124_Smp_Vesicle9313_3","Adenine",5.44,2380122,2959762,"107117",-3.8,"SNFlag",NA,NA,5.4275,NA,4445615,"170124_Poo_Jan25_AqExtracts_FS_2","HILIC","BlankFlag","SNFlag, BlankFlag",NA
"13","170124_Smp_Pro9312_A","Adenosine",5.3,185901744,1964023,"8175757",-2.1,NA,NA,NA,5.23,NA,487068,"170124_Poo_Jan24_AqExtracts_FS_3","HILIC",NA,"",185901744
"14","170124_Smp_Pro9312_B","Adenosine",5.28,342699264,4013550,"14990500",-2.1,NA,NA,NA,5.23,NA,487068,"170124_Poo_Jan24_AqExtracts_FS_3","HILIC",NA,"",342699264
"15","170124_Smp_Pro9312_C","Adenosine",5.3,4833333,166619,"220953",-2.2,NA,NA,NA,5.23,NA,487068,"170124_Poo_Jan24_AqExtracts_FS_3","HILIC","BlankFlag","BlankFlag",NA
"16","170124_Smp_Pro9313_A","Adenosine",5.26,3192550,0,"131558",-2.1,NA,NA,NA,5.23,NA,487068,"170124_Poo_Jan24_AqExtracts_FS_3","HILIC","BlankFlag","BlankFlag",NA
"17","170124_Smp_Pro9313_B","Adenosine",5.24,3334619,0,"137255",-2,NA,NA,NA,5.23,NA,487068,"170124_Poo_Jan24_AqExtracts_FS_3","HILIC","BlankFlag","BlankFlag",NA
"18","170124_Smp_Pro9313_C","Adenosine",5.29,3209980,0,"136882",-2.1,NA,NA,NA,5.23,NA,487068,"170124_Poo_Jan24_AqExtracts_FS_3","HILIC","BlankFlag","BlankFlag",NA
