Hello! Welcome to the world of QE Quality Control! Minimum area for a real peak: 5000. RT flexibility: 0.2. Blank can be this fraction of a sample: 10. S/N ratio: 5. Parts per million flexibility: 4. Processed on: 2020-09-04 14:10:16. 
"","Replicate.Name","Precursor.Ion.Name","Retention.Time","Area","Background","Height","Mass.Error.PPM","SNFlag","ppmFlag","areaminFlag","RT_ref","RTFlag","Blank.Area","Poo.Name","Fraction","BlankFlag","Flags","QC_area"
"1","170128_Smp_Pro9312_A","Adenosyl Homocysteine",0.97,1111403,0,"605277",-0.6,NA,NA,NA,0.9375,NA,0,"170128_Poo_Jan24_AqExtracts_FS_1","RPAq",NA,"",1111403
"2","170128_Smp_Pro9312_B","Adenosyl Homocysteine",0.97,1549635,0,"783038",-0.2,NA,NA,NA,0.9375,NA,0,"170128_Poo_Jan24_AqExtracts_FS_1","RPAq",NA,"",1549635
"3","170128_Smp_Pro9312_C","Adenosyl Homocysteine",0.97,1334650,0,"586848",-0.7,NA,NA,NA,0.9375,NA,0,"170128_Poo_Jan24_AqExtracts_FS_1","RPAq",NA,"",1334650
"4","170128_Smp_Pro9313_A","Adenosyl Homocysteine",0.98,777917,0,"398511",-0.1,NA,NA,NA,0.9375,NA,0,"170128_Poo_Jan24_AqExtracts_FS_1","RPAq",NA,"",777917
"5","170128_Smp_Pro9313_B","Adenosyl Homocysteine",0.97,1962026,0,"994630",-0.8,NA,NA,NA,0.9375,NA,0,"170128_Poo_Jan24_AqExtracts_FS_1","RPAq",NA,"",1962026
"6","170128_Smp_Pro9313_C","Adenosyl Homocysteine",0.97,180599,0,"108241",-0.2,NA,NA,NA,0.9375,NA,0,"170128_Poo_Jan24_AqExtracts_FS_1","RPAq",NA,"",180599
"7","170128_Smp_Vesicle9312_1","Adenosyl Homocysteine",7.99,29784,0,"13093",-2.2,NA,NA,NA,0.9375,"RTFlag",5751,"170128_Poo_Jan25_AqExtracts_FS_2","RPAq","BlankFlag","RTFlag, BlankFlag",NA
"8","170128_Smp_Vesicle9312_2","Adenosyl Homocysteine",7.99,13174,0,"9664",-1.7,NA,NA,NA,0.9375,"RTFlag",5751,"170128_Poo_Jan25_AqExtracts_FS_2","RPAq","BlankFlag","RTFlag, BlankFlag",NA
"9","170128_Smp_Vesicle9312_3","Adenosyl Homocysteine",7.98,47345,0,"16416",-1.7,NA,NA,NA,0.9375,"RTFlag",5751,"170128_Poo_Jan25_AqExtracts_FS_2","RPAq","BlankFlag","RTFlag, BlankFlag",NA
"10","170128_Smp_Vesicle9313_1","Adenosyl Homocysteine",8,2415,0,"2157",-0.7,NA,NA,"areaminFlag",0.9375,"RTFlag",5751,"170128_Poo_Jan25_AqExtracts_FS_2","RPAq","BlankFlag","areaminFlag, RTFlag, BlankFlag",NA
"11","170128_Smp_Vesicle9313_2","Adenosyl Homocysteine",4.61,840,0,"1697",2.4,NA,NA,"areaminFlag",0.9375,"RTFlag",5751,"170128_Poo_Jan25_AqExtracts_FS_2","RPAq","BlankFlag","areaminFlag, RTFlag, BlankFlag",NA
"12","170128_Smp_Vesicle9313_3","Adenosyl Homocysteine",6.97,611,0,"1397",1.2,NA,NA,"areaminFlag",0.9375,"RTFlag",5751,"170128_Poo_Jan25_AqExtracts_FS_2","RPAq","BlankFlag","areaminFlag, RTFlag, BlankFlag",NA
"13","170128_Smp_Pro9312_A","Adenosyl Methionine",0.79,8644037,0,"5214208",0.1,NA,NA,NA,0.7525,NA,0,"170128_Poo_Jan24_AqExtracts_FS_1","RPAq",NA,"",8644037
"14","170128_Smp_Pro9312_B","Adenosyl Methionine",0.8,7190698,0,"4394854",0.3,NA,NA,NA,0.7525,NA,0,"170128_Poo_Jan24_AqExtracts_FS_1","RPAq",NA,"",7190698
"15","170128_Smp_Pro9312_C","Adenosyl Methionine",0.8,6337335,0,"3447275",0,NA,NA,NA,0.7525,NA,0,"170128_Poo_Jan24_AqExtracts_FS_1","RPAq",NA,"",6337335
"16","170128_Smp_Pro9313_A","Adenosyl Methionine",0.79,26013844,0,"16755383",-0.1,NA,NA,NA,0.7525,NA,0,"170128_Poo_Jan24_AqExtracts_FS_1","RPAq",NA,"",26013844
"17","170128_Smp_Pro9313_B","Adenosyl Methionine",0.79,60293188,0,"34723320",-0.3,NA,NA,NA,0.7525,NA,0,"170128_Poo_Jan24_AqExtracts_FS_1","RPAq",NA,"",60293188
"18","170128_Smp_Pro9313_C","Adenosyl Methionine",0.79,5667513,0,"3399959",0.3,NA,NA,NA,0.7525,NA,0,"170128_Poo_Jan24_AqExtracts_FS_1","RPAq",NA,"",5667513
"19","170128_Smp_Vesicle9312_1","Adenosyl Methionine",8.69,27059,0,"13361",-1.7,NA,NA,NA,0.7525,"RTFlag",9805,"170128_Poo_Jan25_AqExtracts_FS_2","RPAq","BlankFlag","RTFlag, BlankFlag",NA
"20","170128_Smp_Vesicle9312_2","Adenosyl Methionine",6.12,708,0,"1390",4.3,NA,"ppmFlag","areaminFlag",0.7525,"RTFlag",9805,"170128_Poo_Jan25_AqExtracts_FS_2","RPAq","BlankFlag","ppmFlag, areaminFlag, RTFlag, BlankFlag",NA
"21","170128_Smp_Vesicle9312_3","Adenosyl Methionine",8.09,22073,0,"9763",-2,NA,NA,NA,0.7525,"RTFlag",9805,"170128_Poo_Jan25_AqExtracts_FS_2","RPAq","BlankFlag","RTFlag, BlankFlag",NA
"22","170128_Smp_Vesicle9313_1","Adenosyl Methionine",7.47,629,0,"1198",-4.7,NA,"ppmFlag","areaminFlag",0.7525,"RTFlag",9805,"170128_Poo_Jan25_AqExtracts_FS_2","RPAq","BlankFlag","ppmFlag, areaminFlag, RTFlag, BlankFlag",NA
"23","170128_Smp_Vesicle9313_2","Adenosyl Methionine",8.09,3364,0,"3515",-1.4,NA,NA,"areaminFlag",0.7525,"RTFlag",9805,"170128_Poo_Jan25_AqExtracts_FS_2","RPAq","BlankFlag","areaminFlag, RTFlag, BlankFlag",NA
"24","170128_Smp_Vesicle9313_3","Adenosyl Methionine",8.1,2827,0,"2834",-2.1,NA,NA,"areaminFlag",0.7525,"RTFlag",9805,"170128_Poo_Jan25_AqExtracts_FS_2","RPAq","BlankFlag","areaminFlag, RTFlag, BlankFlag",NA
"25","170128_Smp_Pro9312_A","Aminobenzoic Acid",2.02,40217,131424,"12567",-3.2,"SNFlag",NA,NA,1.935,NA,120141,"170128_Poo_Jan24_AqExtracts_FS_2","RPAq","BlankFlag","SNFlag, BlankFlag",NA
"26","170128_Smp_Pro9312_B","Aminobenzoic Acid",2.03,36177,119365,"36241",-2.5,"SNFlag",NA,NA,1.935,NA,120141,"170128_Poo_Jan24_AqExtracts_FS_2","RPAq","BlankFlag","SNFlag, BlankFlag",NA
"27","170128_Smp_Pro9312_C","Aminobenzoic Acid",1.98,21186,188505,"11739",-3,"SNFlag",NA,NA,1.935,NA,120141,"170128_Poo_Jan24_AqExtracts_FS_2","RPAq","BlankFlag","SNFlag, BlankFlag",NA
"28","170128_Smp_Pro9313_A","Aminobenzoic Acid",1.95,80100,471427,"47865",-3.1,"SNFlag",NA,NA,1.935,NA,120141,"170128_Poo_Jan24_AqExtracts_FS_2","RPAq","BlankFlag","SNFlag, BlankFlag",NA
"29","170128_Smp_Pro9313_B","Aminobenzoic Acid",1.96,223265,970320,"77458",-3,"SNFlag",NA,NA,1.935,NA,120141,"170128_Poo_Jan24_AqExtracts_FS_2","RPAq","BlankFlag","SNFlag, BlankFlag",NA
"30","170128_Smp_Pro9313_C","Aminobenzoic Acid",1.99,132779,209268,"61702",-2.9,"SNFlag",NA,NA,1.935,NA,120141,"170128_Poo_Jan24_AqExtracts_FS_2","RPAq","BlankFlag","SNFlag, BlankFlag",NA
"31","170128_Smp_Vesicle9312_1","Aminobenzoic Acid",1.98,116631,85463,"33313",-2.4,"SNFlag",NA,NA,1.935,NA,117520,NA,"RPAq","BlankFlag","SNFlag, BlankFlag",NA
"32","170128_Smp_Vesicle9312_2","Aminobenzoic Acid",1.98,56615,78530,"20039",-2.6,"SNFlag",NA,NA,1.935,NA,117520,NA,"RPAq","BlankFlag","SNFlag, BlankFlag",NA
"33","170128_Smp_Vesicle9312_3","Aminobenzoic Acid",1.97,86814,123574,"22691",-2.6,"SNFlag",NA,NA,1.935,NA,117520,NA,"RPAq","BlankFlag","SNFlag, BlankFlag",NA
"34","170128_Smp_Vesicle9313_1","Aminobenzoic Acid",1.98,119866,194728,"25859",-2.5,"SNFlag",NA,NA,1.935,NA,117520,NA,"RPAq","BlankFlag","SNFlag, BlankFlag",NA
"35","170128_Smp_Vesicle9313_2","Aminobenzoic Acid",2,159843,96696,"33464",-2.4,"SNFlag",NA,NA,1.935,NA,117520,NA,"RPAq","BlankFlag","SNFlag, BlankFlag",NA
"36","170128_Smp_Vesicle9313_3","Aminobenzoic Acid",1.97,257926,270634,"48068",-2.3,"SNFlag",NA,NA,1.935,NA,117520,NA,"RPAq","BlankFlag","SNFlag, BlankFlag",NA
"37","170128_Smp_Pro9312_A","Desthiobiotin",4.33,49096,0,"22676",-1.4,NA,NA,NA,4.32,NA,0,"170128_Poo_Jan24_AqExtracts_FS_1","RPAq",NA,"",49096
"38","170128_Smp_Pro9312_B","Desthiobiotin",4.33,64712,0,"24460",-1.2,NA,NA,NA,4.32,NA,0,"170128_Poo_Jan24_AqExtracts_FS_1","RPAq",NA,"",64712
"39","170128_Smp_Pro9312_C","Desthiobiotin",4.32,72417,0,"29585",-1.4,NA,NA,NA,4.32,NA,0,"170128_Poo_Jan24_AqExtracts_FS_1","RPAq",NA,"",72417
"40","170128_Smp_Pro9313_A","Desthiobiotin",4.32,60225,0,"20549",-1.1,NA,NA,NA,4.32,NA,0,"170128_Poo_Jan24_AqExtracts_FS_1","RPAq",NA,"",60225
"41","170128_Smp_Pro9313_B","Desthiobiotin",4.33,161539,0,"60275",-2.2,NA,NA,NA,4.32,NA,0,"170128_Poo_Jan24_AqExtracts_FS_1","RPAq",NA,"",161539
"42","170128_Smp_Pro9313_C","Desthiobiotin",4.34,20461,0,"10169",-1.5,NA,NA,NA,4.32,NA,0,"170128_Poo_Jan24_AqExtracts_FS_1","RPAq",NA,"",20461
