Hello! Welcome to the world of QE Quality Control! Minimum area for a real peak: 5000. RT flexibility: 0.2. Blank can be this fraction of a sample: 10. S/N ratio: 5. Parts per million flexibility: 4. Processed on: 2020-09-04 14:10:16. 
"","Replicate.Name","Precursor.Ion.Name","Retention.Time","Area","Background","Height","Mass.Error.PPM","SNFlag","ppmFlag","areaminFlag","RT_ref","RTFlag","Blank.Area","Poo.Name","Fraction","BlankFlag","Flags","QC_area"
"1","170128_Smp_Pro9312_A_DCM","Arachidonic Acid",11.9,37024,0,"11734",-1.2,NA,NA,NA,11.985,NA,32703,"170128_Poo_Jan24_DCMExtracts_FS_3","RPOrg","BlankFlag","BlankFlag",NA
"2","170128_Smp_Pro9312_B_DCM","Arachidonic Acid",11.86,67361,0,"18268",-1.6,NA,NA,NA,11.985,NA,32703,"170128_Poo_Jan24_DCMExtracts_FS_3","RPOrg","BlankFlag","BlankFlag",NA
"3","170128_Smp_Pro9312_C_DCM","Arachidonic Acid",11.9,29278,0,"9514",-1.4,NA,NA,NA,11.985,NA,32703,"170128_Poo_Jan24_DCMExtracts_FS_3","RPOrg","BlankFlag","BlankFlag",NA
"4","170128_Smp_Pro9313_A_DCM","Arachidonic Acid",11.87,99981,0,"31575",-1.5,NA,NA,NA,11.985,NA,32703,"170128_Poo_Jan24_DCMExtracts_FS_3","RPOrg","BlankFlag","BlankFlag",NA
"5","170128_Smp_Pro9313_B_DCM","Arachidonic Acid",11.87,32781,0,"11236",-1.6,NA,NA,NA,11.985,NA,32703,"170128_Poo_Jan24_DCMExtracts_FS_3","RPOrg","BlankFlag","BlankFlag",NA
"6","170128_Smp_Pro9313_C_DCM","Arachidonic Acid",11.87,84146,0,"25221",-1.3,NA,NA,NA,11.985,NA,32703,"170128_Poo_Jan24_DCMExtracts_FS_3","RPOrg","BlankFlag","BlankFlag",NA
"7","170128_Smp_Vesicle9312_1_DCM","Arachidonic Acid",11.88,133141,0,"21691",-2.1,NA,NA,NA,11.985,NA,729543,NA,"RPOrg","BlankFlag","BlankFlag",NA
"8","170128_Smp_Vesicle9312_2_DCM","Arachidonic Acid",11.88,27492,0,"12295",-2.4,NA,NA,NA,11.985,NA,729543,NA,"RPOrg","BlankFlag","BlankFlag",NA
"9","170128_Smp_Vesicle9312_3_DCM","Arachidonic Acid",11.88,14649,0,"5531",-1.6,NA,NA,NA,11.985,NA,729543,NA,"RPOrg","BlankFlag","BlankFlag",NA
"10","170128_Smp_Vesicle9313_1_DCM","Arachidonic Acid",11.81,391529,0,"60179",-2.2,NA,NA,NA,11.985,NA,729543,NA,"RPOrg","BlankFlag","BlankFlag",NA
"11","170128_Smp_Vesicle9313_2_DCM","Arachidonic Acid",11.81,126622,0,"29374",-2.1,NA,NA,NA,11.985,NA,729543,NA,"RPOrg","BlankFlag","BlankFlag",NA
"12","170128_Smp_Vesicle9313_3_DCM","Arachidonic Acid",11.88,241289,22019,"49743",-2.8,NA,NA,NA,11.985,NA,729543,NA,"RPOrg","BlankFlag","BlankFlag",NA
"13","170128_Smp_Pro9312_A_DCM","Carotene",16.14,7741441,1259863,"1498560",0.1,NA,NA,NA,16.225,NA,0,"170128_Poo_Jan24_DCMExtracts_FS_1","RPOrg",NA,"",7741441
"14","170128_Smp_Pro9312_B_DCM","Carotene",16.14,11575985,33103,"2037649",-0.1,NA,NA,NA,16.225,NA,0,"170128_Poo_Jan24_DCMExtracts_FS_1","RPOrg",NA,"",11575985
"15","170128_Smp_Pro9312_C_DCM","Carotene",16.16,13898122,2596819,"2134648",0.1,NA,NA,NA,16.225,NA,0,"170128_Poo_Jan24_DCMExtracts_FS_1","RPOrg",NA,"",13898122
"16","170128_Smp_Pro9313_A_DCM","Carotene",16.15,11179954,641878,"1963190",-0.2,NA,NA,NA,16.225,NA,0,"170128_Poo_Jan24_DCMExtracts_FS_1","RPOrg",NA,"",11179954
"17","170128_Smp_Pro9313_B_DCM","Carotene",16.14,11769079,180531,"2290091",0.4,NA,NA,NA,16.225,NA,0,"170128_Poo_Jan24_DCMExtracts_FS_1","RPOrg",NA,"",11769079
"18","170128_Smp_Pro9313_C_DCM","Carotene",16.41,14066,45692,"3240",3.2,"SNFlag",NA,NA,16.225,NA,0,"170128_Poo_Jan24_DCMExtracts_FS_1","RPOrg",NA,"SNFlag, ",NA
"19","170128_Smp_Vesicle9312_1_DCM","Carotene",16.13,14181549,1071457,"1775699",0,NA,NA,NA,16.225,NA,589,"170128_Poo_Jan25_DCMExtracts_FS_3","RPOrg",NA,"",14181549
"20","170128_Smp_Vesicle9312_2_DCM","Carotene",16.13,3693072,114523,"589227",-0.2,NA,NA,NA,16.225,NA,589,"170128_Poo_Jan25_DCMExtracts_FS_3","RPOrg",NA,"",3693072
"21","170128_Smp_Vesicle9312_3_DCM","Carotene",16.14,15265906,538315,"1894491",-0.3,NA,NA,NA,16.225,NA,589,"170128_Poo_Jan25_DCMExtracts_FS_3","RPOrg",NA,"",15265906
"22","170128_Smp_Vesicle9313_1_DCM","Carotene",16.15,156264368,1661958,"10281565",-1.4,NA,NA,NA,16.225,NA,589,"170128_Poo_Jan25_DCMExtracts_FS_3","RPOrg",NA,"",156264368
"23","170128_Smp_Vesicle9313_2_DCM","Carotene",16.13,104425168,2687458,"9390287",-0.9,NA,NA,NA,16.225,NA,589,"170128_Poo_Jan25_DCMExtracts_FS_3","RPOrg",NA,"",104425168
"24","170128_Smp_Vesicle9313_3_DCM","Carotene",16.15,149138672,1196413,"10597636",-1.8,NA,NA,NA,16.225,NA,589,"170128_Poo_Jan25_DCMExtracts_FS_3","RPOrg",NA,"",149138672
"25","170128_Smp_Pro9312_A_DCM","EPA",12.06,17722,0,"7022",-1.1,NA,NA,NA,10.015,"RTFlag",9869,"170128_Poo_Jan24_DCMExtracts_FS_2","RPOrg","BlankFlag","RTFlag, BlankFlag",NA
"26","170128_Smp_Pro9312_B_DCM","EPA",12.06,15430,0,"13910",-0.5,NA,NA,NA,10.015,"RTFlag",9869,"170128_Poo_Jan24_DCMExtracts_FS_2","RPOrg","BlankFlag","RTFlag, BlankFlag",NA
"27","170128_Smp_Pro9312_C_DCM","EPA",12.08,28509,0,"10502",-1.2,NA,NA,NA,10.015,"RTFlag",9869,"170128_Poo_Jan24_DCMExtracts_FS_2","RPOrg","BlankFlag","RTFlag, BlankFlag",NA
"28","170128_Smp_Pro9313_A_DCM","EPA",11.88,1204145,0,"401182",-1.5,NA,NA,NA,10.015,"RTFlag",9869,"170128_Poo_Jan24_DCMExtracts_FS_2","RPOrg",NA,"RTFlag, ",NA
"29","170128_Smp_Pro9313_B_DCM","EPA",11.88,810601,0,"303663",-1.4,NA,NA,NA,10.015,"RTFlag",9869,"170128_Poo_Jan24_DCMExtracts_FS_2","RPOrg",NA,"RTFlag, ",NA
"30","170128_Smp_Pro9313_C_DCM","EPA",11.89,345942,0,"124684",-1,NA,NA,NA,10.015,"RTFlag",9869,"170128_Poo_Jan24_DCMExtracts_FS_2","RPOrg",NA,"RTFlag, ",NA
