MF,Fraction,mz,Retention_time,Cell_9312_A,Cell_9312_B,Cell_9312_C,Cell_9313_A,Cell_9313_B,Cell_9313_C,Vesicle_9312_1,Vesicle_9312_2,Vesicle_9312_3,Vesicle_9313_2,Vesicle_9313_1,Vesicle_9313_3
47_CyanoAq,CyanoAq,120.08111,1.139,0.005527791,0.004738426,0.003401319,0.014898401,0.015739238,0.001140005,NA,NA,NA,NA,NA,NA
54_CyanoAq,CyanoAq,122.56873,1.281,4.23E-05,6.31E-05,9.58E-05,4.44E-05,NA,NA,NA,NA,NA,NA,NA,NA
65_CyanoAq,CyanoAq,129.56325,1.076,2.14E-05,1.86E-05,1.25E-05,4.42E-05,5.57E-05,1.99E-05,NA,NA,NA,NA,NA,NA
86_CyanoAq,CyanoAq,134.54346,1.116,4.27E-05,4.73E-05,6.89E-05,7.88E-04,4.81E-04,3.62E-05,NA,NA,NA,NA,NA,NA
91_CyanoAq,CyanoAq,136.06192,1.053,0.005167843,0.005755261,0.004148879,0.031179392,0.026826431,0.002248234,NA,NA,NA,NA,NA,NA
94_CyanoAq,CyanoAq,138.07761,1.162,4.25E-04,NA,4.03E-04,0.00514355,0.003650732,1.78E-04,NA,NA,NA,NA,NA,NA
115_CyanoAq,CyanoAq,143.54869,1.117,1.83E-05,2.45E-05,2.68E-05,3.47E-04,2.78E-04,1.52E-05,NA,NA,NA,NA,NA,NA
145_CyanoAq,CyanoAq,151.53735,1.117,1.29E-05,1.77E-05,2.45E-05,2.92E-04,1.55E-04,9.21E-06,NA,NA,NA,NA,NA,NA
146_CyanoAq,CyanoAq,151.53748,1.217,1.86E-05,3.24E-05,2.85E-05,3.47E-04,2.32E-04,1.97E-05,NA,NA,NA,NA,NA,NA
151_CyanoAq,CyanoAq,154.07245,1.233,7.27E-04,7.21E-04,6.97E-04,0.007626856,NA,4.14E-04,NA,NA,NA,NA,NA,NA
166_CyanoAq,CyanoAq,159.52361,1.213,2.87E-06,1.70E-06,3.53E-06,6.49E-05,4.63E-05,2.22E-06,NA,NA,NA,NA,NA,NA
183_CyanoAq,CyanoAq,163.56438,3.165,1.22E-05,9.69E-06,2.87E-05,4.74E-05,NA,NA,NA,NA,NA,NA,NA,NA
189_CyanoAq,CyanoAq,164.05673,1.117,0.019161093,0.01694966,0.023183349,0.20144396,0.131633008,0.01253171,NA,NA,NA,NA,NA,NA
210_CyanoAq,CyanoAq,166.08636,1.137,0.013388443,0.00977353,0.007666865,0.029708774,0.040648255,0.002921999,NA,NA,NA,NA,NA,NA
222_CyanoAq,CyanoAq,171.55307,3.165,7.09E-05,5.37E-05,1.16E-04,3.15E-04,7.92E-05,5.43E-06,NA,NA,NA,NA,NA,NA
232_CyanoAq,CyanoAq,174.14905,1.312,NA,NA,NA,NA,NA,NA,0.011321647,0.012253342,0.055518495,0.005412274,NA,0.003496833
255_CyanoAq,CyanoAq,180.05182,1.218,0.001980532,0.002027259,0.001994615,0.017633469,0.012022476,0.001360283,NA,NA,NA,NA,NA,NA
269_CyanoAq,CyanoAq,182.06729,1.172,5.30E-04,4.55E-04,5.51E-04,0.179822416,0.003620252,0.009810554,NA,NA,NA,NA,NA,NA
270_CyanoAq,CyanoAq,182.06746,1.427,3.74E-04,3.03E-04,2.48E-04,0.002231705,0.002298317,1.32E-04,NA,NA,NA,NA,NA,NA
287_CyanoAq,CyanoAq,186.0388,1.117,0.001546866,0.001426525,0.001934699,0.017335398,0.012200242,9.80E-04,NA,NA,NA,NA,NA,NA
296_CyanoAq,CyanoAq,188.03781,1.24,5.42E-04,4.04E-04,4.31E-04,1.23E-04,8.43E-04,4.15E-05,NA,NA,NA,NA,NA,NA
331_CyanoAq,CyanoAq,194.0675,1.645,2.39E-04,1.71E-04,3.77E-04,0.004041812,8.63E-04,1.95E-04,NA,NA,NA,NA,NA,NA
332_CyanoAq,CyanoAq,194.06755,1.566,1.75E-04,1.77E-04,2.40E-04,0.001380658,8.81E-04,1.57E-04,NA,NA,NA,NA,NA,NA
343_CyanoAq,CyanoAq,196.08313,1.564,0.001169584,0.001080004,0.001702769,0.013873297,0.006964296,7.33E-04,NA,NA,NA,NA,NA,NA
385_CyanoAq,CyanoAq,204.04941,1.215,6.93E-04,7.20E-04,7.18E-04,0.006608869,0.004889884,4.48E-04,NA,NA,NA,NA,NA,NA
386_CyanoAq,CyanoAq,204.04945,1.425,6.29E-05,3.68E-05,3.10E-05,2.27E-04,3.31E-04,1.61E-05,NA,NA,NA,NA,NA,NA
