Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
molecules1,170127_Std_250nM_StdsInH2O_1,Adenosyl Homocysteine,0.93,5937991,7386,1451873,-0.7,molecules1
molecules1,170127_Std_250nM_StdsInH2O_2,Adenosyl Homocysteine,0.94,5518560,0,1748072,-0.6,molecules1
molecules1,170128_Std_250nM_StdsInAqMatrix_1,Adenosyl Homocysteine,0.94,2453153,0,364073,-0.3,molecules1
molecules1,170128_Std_250nM_StdsInAqMatrix_2,Adenosyl Homocysteine,0.94,3246500,0,1093740,-0.5,molecules1
molecules1,170128_Blk_1a,Adenosyl Homocysteine,5.9,1716,0,2164,-0.6,molecules1
molecules1,170128_Blk_1b,Adenosyl Homocysteine,5.82,846,0,2311,-8.1,molecules1
molecules1,170128_Blk_1c,Adenosyl Homocysteine,3.14,1209,0,2517,-1.4,molecules1
molecules1,170128_Blk_2a,Adenosyl Homocysteine,4.78,5751,0,3910,-7.8,molecules1
molecules1,170128_Blk_2b,Adenosyl Homocysteine,2.6,1368,0,3114,-11.5,molecules1
molecules1,170128_Blk_2c,Adenosyl Homocysteine,2.67,1425,0,2141,-6.7,molecules1
molecules1,170128_Blk_3a,Adenosyl Homocysteine,10.45,589,0,1532,-0.2,molecules1
molecules1,170128_Blk_3b,Adenosyl Homocysteine,7.98,1550,0,1225,-1.2,molecules1
molecules1,170128_Blk_3c,Adenosyl Homocysteine,4.3,917,0,2332,-0.2,molecules1
molecules1,170128_Blk_4a,Adenosyl Homocysteine,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,170128_Blk_4b,Adenosyl Homocysteine,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,170128_Blk_4c,Adenosyl Homocysteine,0.08,441,0,801,0.1,molecules1
molecules1,170128_Blk_ProcessBlk_1,Adenosyl Homocysteine,0.99,0,0,0,#N/A,molecules1
molecules1,170128_Blk_ProcessBlk_2,Adenosyl Homocysteine,0.9,0,0,0,#N/A,molecules1
molecules1,170128_Blk_ProcessBlk_3,Adenosyl Homocysteine,0.98,0,0,0,#N/A,molecules1
molecules1,170128_Poo_Jan24_AqExtracts_FS_1,Adenosyl Homocysteine,0.97,874297,0,445970,-0.3,molecules1
molecules1,170128_Poo_Jan24_AqExtracts_FS_2,Adenosyl Homocysteine,0.97,904570,0,469633,-0.3,molecules1
molecules1,170128_Poo_Jan24_AqExtracts_FS_3,Adenosyl Homocysteine,0.98,818995,0,369489,-0.6,molecules1
molecules1,170128_Poo_Jan25_AqExtracts_FS_1,Adenosyl Homocysteine,7.99,17492,0,9584,-1.9,molecules1
molecules1,170128_Poo_Jan25_AqExtracts_FS_2,Adenosyl Homocysteine,5.37,608,0,1006,5.2,molecules1
molecules1,170128_Poo_Jan25_AqExtracts_FS_3,Adenosyl Homocysteine,7.98,22242,0,10682,-2.4,molecules1
molecules1,170128_Smp_Pro9312_A,Adenosyl Homocysteine,0.97,1111403,0,605277,-0.6,molecules1
molecules1,170128_Smp_Pro9312_B,Adenosyl Homocysteine,0.97,1549635,0,783038,-0.2,molecules1
molecules1,170128_Smp_Pro9312_C,Adenosyl Homocysteine,0.97,1334650,0,586848,-0.7,molecules1
molecules1,170128_Smp_Pro9313_A,Adenosyl Homocysteine,0.98,777917,0,398511,-0.1,molecules1
molecules1,170128_Smp_Pro9313_B,Adenosyl Homocysteine,0.97,1962026,0,994630,-0.8,molecules1
molecules1,170128_Smp_Pro9313_C,Adenosyl Homocysteine,0.97,180599,0,108241,-0.2,molecules1
molecules1,170128_Smp_Vesicle9312_1,Adenosyl Homocysteine,7.99,29784,0,13093,-2.2,molecules1
molecules1,170128_Smp_Vesicle9312_2,Adenosyl Homocysteine,7.99,13174,0,9664,-1.7,molecules1
molecules1,170128_Smp_Vesicle9312_3,Adenosyl Homocysteine,7.98,47345,0,16416,-1.7,molecules1
