Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
Standards_neg,170124_Std_4uM_StdsInH2O_1,Aconitic Acid,15.02,356334208,2302314,11896390,-0.3,Standards_neg
Standards_neg,170124_Std_4uM_StdsInH2O_2,Aconitic Acid,14.34,312424864,3058434,19157184,-0.9,Standards_neg
Standards_neg,170124_Std_4uM_StdsInMatrix_1,Aconitic Acid,15.04,343550816,3021542,11025356,-0.5,Standards_neg
Standards_neg,170124_Std_4uM_StdsInMatrix_2,Aconitic Acid,14.98,358085792,2180446,12003811,-0.2,Standards_neg
Standards_neg,170124_Std_4uM_StdsInMatrix_3,Aconitic Acid,14.42,360321280,3911916,25011396,-0.7,Standards_neg
Standards_neg,170124_Blk_1a,Aconitic Acid,14.72,677903,0,107837,0.6,Standards_neg
Standards_neg,170124_Blk_1b,Aconitic Acid,14.69,681950,0,102297,0.4,Standards_neg
Standards_neg,170124_Blk_1c,Aconitic Acid,14.77,847216,0,143757,0.6,Standards_neg
Standards_neg,170124_Blk_2a,Aconitic Acid,12.82,243288,0,62192,-0.1,Standards_neg
Standards_neg,170124_Blk_2b,Aconitic Acid,12.82,400956,0,77199,0.9,Standards_neg
Standards_neg,170124_Blk_2c,Aconitic Acid,12.81,288710,0,44815,0.8,Standards_neg
Standards_neg,170124_Blk_3a,Aconitic Acid,14.2,34182,0,26216,4,Standards_neg
Standards_neg,170124_Blk_3b,Aconitic Acid,17.8,108455,0,25549,4.7,Standards_neg
Standards_neg,170124_Blk_3c,Aconitic Acid,19.06,116932,0,29497,1.6,Standards_neg
Standards_neg,170124_Blk_4a,Aconitic Acid,22.02,116327,0,30977,6.5,Standards_neg
Standards_neg,170124_Blk_4b,Aconitic Acid,20.88,120215,0,37602,6.9,Standards_neg
Standards_neg,170124_Blk_4c,Aconitic Acid,21.38,166390,0,37689,7.5,Standards_neg
Standards_neg,170124_Blk_ProcessBlk_1,Aconitic Acid,15.13,27391,0,14549,5.7,Standards_neg
Standards_neg,170124_Blk_ProcessBlk_2,Aconitic Acid,15.73,165218,0,30738,6.7,Standards_neg
Standards_neg,170124_Blk_ProcessBlk_3,Aconitic Acid,15.64,197949,0,30892,5.4,Standards_neg
Standards_neg,170124_Poo_Jan24_AqExtracts_FS_1,Aconitic Acid,15.19,1396101,0,102845,1,Standards_neg
Standards_neg,170124_Poo_Jan24_AqExtracts_FS_2,Aconitic Acid,15.09,1659418,0,83680,0.7,Standards_neg
Standards_neg,170124_Poo_Jan24_AqExtracts_FS_3,Aconitic Acid,15.16,1992694,0,90035,0.7,Standards_neg
Standards_neg,170124_Poo_Jan25_AqExtracts_FS_1,Aconitic Acid,14.65,281785,0,47432,0,Standards_neg
Standards_neg,170124_Poo_Jan25_AqExtracts_FS_2,Aconitic Acid,14.65,352350,0,98930,-0.2,Standards_neg
Standards_neg,170124_Poo_Jan25_AqExtracts_FS_3,Aconitic Acid,14.61,288750,0,47546,0.8,Standards_neg
Standards_neg,170124_Smp_Pro9312_A,Aconitic Acid,15.23,1040565,0,78807,1.2,Standards_neg
Standards_neg,170124_Smp_Pro9312_B,Aconitic Acid,15.13,2395618,0,121089,1.2,Standards_neg
Standards_neg,170124_Smp_Pro9312_C,Aconitic Acid,15.09,2966629,0,126162,0.5,Standards_neg
Standards_neg,170124_Smp_Pro9313_A,Aconitic Acid,15.15,1744144,0,120872,0.8,Standards_neg
Standards_neg,170124_Smp_Pro9313_B,Aconitic Acid,15.14,1980919,0,119642,0.7,Standards_neg
Standards_neg,170124_Smp_Pro9313_C,Aconitic Acid,15.06,137047,0,30277,4.6,Standards_neg
