Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
Standards_pos,170124_Std_4uM_StdsInH2O_1,Adenine,5.44,6060609024,146591056,296265280,-4.6,Standards_pos
Standards_pos,170124_Std_4uM_StdsInH2O_2,Adenine,5.42,5093279232,142295968,246155072,-4.7,Standards_pos
Standards_pos,170124_Std_4uM_StdsInMatrix_1,Adenine,5.44,6419929600,168998752,330590464,-4.6,Standards_pos
Standards_pos,170124_Std_4uM_StdsInMatrix_2,Adenine,5.47,5994635264,111018504,286495456,-4.7,Standards_pos
Standards_pos,170124_Std_4uM_StdsInMatrix_3,Adenine,5.41,3927819520,101005112,195553856,-4.5,Standards_pos
Standards_pos,170124_Blk_1a,Adenine,5.44,2120888,8305798,145150,-3.4,Standards_pos
Standards_pos,170124_Blk_1b,Adenine,5.45,3600149,6275572,217058,-3.6,Standards_pos
Standards_pos,170124_Blk_1c,Adenine,5.45,3466851,8292636,222093,-3.6,Standards_pos
Standards_pos,170124_Blk_2a,Adenine,5.44,4445615,7767622,245204,-3.5,Standards_pos
Standards_pos,170124_Blk_2b,Adenine,5.45,4425938,4039378,274103,-3.4,Standards_pos
Standards_pos,170124_Blk_2c,Adenine,5.47,4466575,5805400,289664,-3.6,Standards_pos
Standards_pos,170124_Blk_3a,Adenine,5.44,1139081,4757422,79603,-4.1,Standards_pos
Standards_pos,170124_Blk_3b,Adenine,5.41,1990895,3653685,121483,-3.8,Standards_pos
Standards_pos,170124_Blk_3c,Adenine,5.42,1510771,3320030,91598,-4.2,Standards_pos
Standards_pos,170124_Blk_4a,Adenine,5.39,2591467,4080095,129756,-3.3,Standards_pos
Standards_pos,170124_Blk_4b,Adenine,5.44,1980276,3814182,136420,-3.4,Standards_pos
Standards_pos,170124_Blk_4c,Adenine,5.42,1805688,3765712,111284,-3.4,Standards_pos
Standards_pos,170124_Blk_ProcessBlk_1,Adenine,5.28,1715427,8966228,121155,-3.7,Standards_pos
Standards_pos,170124_Blk_ProcessBlk_2,Adenine,5.45,1571064,6820127,146836,-3.5,Standards_pos
Standards_pos,170124_Blk_ProcessBlk_3,Adenine,5.4,2174964,6805788,163834,-3.5,Standards_pos
Standards_pos,170124_Poo_Jan24_AqExtracts_FS_1,Adenine,5.45,936808320,30518452,47709552,-4.2,Standards_pos
Standards_pos,170124_Poo_Jan24_AqExtracts_FS_2,Adenine,5.47,956425280,46115920,45672184,-4,Standards_pos
Standards_pos,170124_Poo_Jan24_AqExtracts_FS_3,Adenine,5.44,985312960,45842008,49223064,-3.8,Standards_pos
Standards_pos,170124_Poo_Jan25_AqExtracts_FS_1,Adenine,5.42,2715331,2267940,152315,-3.7,Standards_pos
Standards_pos,170124_Poo_Jan25_AqExtracts_FS_2,Adenine,5.39,2703963,3402743,153840,-3.7,Standards_pos
Standards_pos,170124_Poo_Jan25_AqExtracts_FS_3,Adenine,5.48,2878766,3622759,143123,-3.8,Standards_pos
Standards_pos,170124_Smp_Pro9312_A,Adenine,5.42,723758656,26941062,38971736,-3.8,Standards_pos
Standards_pos,170124_Smp_Pro9312_B,Adenine,5.45,1117826176,27289706,60777268,-3.9,Standards_pos
Standards_pos,170124_Smp_Pro9312_C,Adenine,5.44,629641664,17230492,33420982,-3.9,Standards_pos
Standards_pos,170124_Smp_Pro9313_A,Adenine,5.45,1352570880,21388306,62144592,-3.9,Standards_pos
Standards_pos,170124_Smp_Pro9313_B,Adenine,5.43,940712768,21202144,46519696,-3.6,Standards_pos
Standards_pos,170124_Smp_Pro9313_C,Adenine,5.45,556822400,19212764,30220120,-3.7,Standards_pos
Standards_pos,170124_Smp_Vesicle9312_1,Adenine,5.47,4914424,3395794,292636,-3.8,Standards_pos
Standards_pos,170124_Smp_Vesicle9312_2,Adenine,5.42,4676678,3499913,282911,-3.6,Standards_pos
Standards_pos,170124_Smp_Vesicle9312_3,Adenine,5.41,2141428,3305408,124653,-3.4,Standards_pos
Standards_pos,170124_Smp_Vesicle9313_1,Adenine,5.42,2095019,3325609,120527,-3.8,Standards_pos
Standards_pos,170124_Smp_Vesicle9313_2,Adenine,5.39,1112308,3924165,81939,-3.3,Standards_pos
Standards_pos,170124_Smp_Vesicle9313_3,Adenine,5.44,2380122,2959762,107117,-3.8,Standards_pos
Standards_pos,170124_Std_4uM_StdsInH2O_1,Adenosine,5.22,2122241152,30229052,89359288,-2.9,Standards_pos
Standards_pos,170124_Std_4uM_StdsInH2O_2,Adenosine,5.23,1809002880,24248822,74431744,-3,Standards_pos
Standards_pos,170124_Std_4uM_StdsInMatrix_1,Adenosine,5.22,2191829248,20780196,98116184,-2.9,Standards_pos
Standards_pos,170124_Std_4uM_StdsInMatrix_2,Adenosine,5.28,2006748544,25662366,89378920,-3,Standards_pos
Standards_pos,170124_Std_4uM_StdsInMatrix_3,Adenosine,5.25,1021627712,11328495,47951976,-2.5,Standards_pos
Standards_pos,170124_Blk_1a,Adenosine,5.33,346552,0,22375,-1.9,Standards_pos
Standards_pos,170124_Blk_1b,Adenosine,5.23,408362,0,24348,-2,Standards_pos
Standards_pos,170124_Blk_1c,Adenosine,5.23,426640,0,28345,-2.1,Standards_pos
Standards_pos,170124_Blk_2a,Adenosine,5.22,124284,57593,16146,-2.2,Standards_pos
Standards_pos,170124_Blk_2b,Adenosine,5.22,232459,0,19485,-1.9,Standards_pos
Standards_pos,170124_Blk_2c,Adenosine,5.31,156617,0,16345,-2.2,Standards_pos
Standards_pos,170124_Blk_3a,Adenosine,5.19,105354,0,7702,-2.3,Standards_pos
Standards_pos,170124_Blk_3b,Adenosine,5.55,143301,0,9101,-1.6,Standards_pos
Standards_pos,170124_Blk_3c,Adenosine,5.34,141705,0,13938,-1.6,Standards_pos
Standards_pos,170124_Blk_4a,Adenosine,5.39,200578,0,12687,-1.7,Standards_pos
Standards_pos,170124_Blk_4b,Adenosine,5.17,69963,150622,12389,-1.8,Standards_pos
Standards_pos,170124_Blk_4c,Adenosine,5.19,259221,0,21327,-1.6,Standards_pos
Standards_pos,170124_Blk_ProcessBlk_1,Adenosine,5.33,323308,0,20048,-2,Standards_pos
Standards_pos,170124_Blk_ProcessBlk_2,Adenosine,5.31,242408,144798,23938,-2.2,Standards_pos
Standards_pos,170124_Blk_ProcessBlk_3,Adenosine,5.25,487068,0,29059,-2,Standards_pos
Standards_pos,170124_Poo_Jan24_AqExtracts_FS_1,Adenosine,5.28,97105976,730505,4191120,-2.5,Standards_pos
Standards_pos,170124_Poo_Jan24_AqExtracts_FS_2,Adenosine,5.23,92502560,1092281,4164214,-2.1,Standards_pos
Standards_pos,170124_Poo_Jan24_AqExtracts_FS_3,Adenosine,5.25,95064824,591254,4206084,-1.9,Standards_pos
Standards_pos,170124_Poo_Jan25_AqExtracts_FS_1,Adenosine,5.37,246552,0,19619,-1.6,Standards_pos
Standards_pos,170124_Poo_Jan25_AqExtracts_FS_2,Adenosine,5.25,201172,0,13943,-1.9,Standards_pos
Standards_pos,170124_Poo_Jan25_AqExtracts_FS_3,Adenosine,5.34,151858,0,11304,-2.7,Standards_pos
Standards_pos,170124_Smp_Pro9312_A,Adenosine,5.3,185901744,1964023,8175757,-2.1,Standards_pos
Standards_pos,170124_Smp_Pro9312_B,Adenosine,5.28,342699264,4013550,14990500,-2.1,Standards_pos
Standards_pos,170124_Smp_Pro9312_C,Adenosine,5.3,4833333,166619,220953,-2.2,Standards_pos
Standards_pos,170124_Smp_Pro9313_A,Adenosine,5.26,3192550,0,131558,-2.1,Standards_pos
Standards_pos,170124_Smp_Pro9313_B,Adenosine,5.24,3334619,0,137255,-2,Standards_pos
Standards_pos,170124_Smp_Pro9313_C,Adenosine,5.29,3209980,0,136882,-2.1,Standards_pos
Standards_pos,170124_Smp_Vesicle9312_1,Adenosine,5.19,458486,0,24386,-2.3,Standards_pos
Standards_pos,170124_Smp_Vesicle9312_2,Adenosine,5.25,396703,0,21067,-2.2,Standards_pos
Standards_pos,170124_Smp_Vesicle9312_3,Adenosine,5.33,249489,0,16038,-1.7,Standards_pos
