Sample.Name,Notes,Fraction,Sample.Group,Treatment.Group,Bio.Normalization,Injec_vol,Blanks
170124_Blk_1,,HILIC,1,1,,1,
170124_Blk_2,,HILIC,1,1,,1,
170124_Std_4uM_StdsInH2O_1,,HILIC,1,1,,1,
170124_Std_4uM_StdsInMatrix_1,Pro Culture Matrix,HILIC,1,1,,1,
170124_Blk_3,,HILIC,1,1,,1,
170124_Blk_4,,HILIC,1,1,,1,
170124_Blk_ProcessBlk_1,Process blank with Pro cultures,HILIC,1,1,,1,
170124_Blk_ProcessBlk_2,,HILIC,1,1,,1,
170124_Blk_ProcessBlk_3,,HILIC,1,1,,1,
170124_Smp_Pro9312_A,,HILIC,1,1,,1,
170124_Smp_Pro9312_C,,HILIC,1,1,,1,
170124_Smp_Pro9313_A,,HILIC,1,1,,1,
170124_Blk_5,,HILIC,1,1,,1,
170124_Smp_Pro9312_B,,HILIC,1,1,,1,
170124_Smp_Pro9313_B,,HILIC,1,1,,1,
170124_Smp_Pro9313_C,,HILIC,1,1,,1,
170124_Blk_6,,HILIC,1,1,,1,
170124_Poo_Jan24_AqExtracts_FS_1,pooled of cell pellets_full scan,HILIC,1,1,,1,
170124_Poo_Jan24_AqExtracts_FS_2,pooled of cell pellets_full scan,HILIC,1,1,,1,
170124_Poo_Jan24_AqExtracts_FS_3,pooled of cell pellets_full scan,HILIC,1,1,,1,
170124_Blk_7,,HILIC,1,1,,1,
170124_Poo_Jan24_AqExtracts_Pos_1,pooled of cell pellets_pos,HILIC,1,1,,1,
170124_Poo_Jan24_AqExtracts_Pos_2,pooled of cell pellets_pos,HILIC,1,1,,1,
170124_Poo_Jan24_AqExtracts_Pos_3,pooled of cell pellets_pos,HILIC,1,1,,1,
170124_Blk_8,,HILIC,1,1,,1,
170124_Poo_Jan24_AqExtracts_Neg_1,pooled of cell pellets_neg,HILIC,1,1,,1,
170124_Poo_Jan24_AqExtracts_Neg_2,pooled of cell pellets_neg,HILIC,1,1,,1,
