Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
molecules2,170128_Blk_ProcessBlk_1,"L-Phenylalanine, D8",1.12,8668209,34257,3075039,0.5,molecules2
molecules2,170128_Blk_ProcessBlk_2,"L-Phenylalanine, D8",1.13,8409505,78088,2805090,0.6,molecules2
molecules2,170128_Blk_ProcessBlk_3,"L-Phenylalanine, D8",1.13,8290454,32824,2835775,0.7,molecules2
molecules2,170128_Poo_Jan24_AqExtracts_FS_1,"L-Phenylalanine, D8",1.13,6808042,0,2382164,1.3,molecules2
molecules2,170128_Poo_Jan24_AqExtracts_FS_2,"L-Phenylalanine, D8",1.12,6724670,0,2321268,0.6,molecules2
molecules2,170128_Poo_Jan24_AqExtracts_FS_3,"L-Phenylalanine, D8",1.13,6449006,64505,2173966,0.7,molecules2
molecules2,170128_Poo_Jan25_AqExtracts_FS_1,"L-Phenylalanine, D8",1.12,5029915,0,1535822,0.8,molecules2
molecules2,170128_Poo_Jan25_AqExtracts_FS_2,"L-Phenylalanine, D8",1.12,4903412,66483,1541509,1,molecules2
molecules2,170128_Poo_Jan25_AqExtracts_FS_3,"L-Phenylalanine, D8",1.11,4901325,42681,1525496,0.9,molecules2
molecules2,170128_Smp_Pro9312_A,"L-Phenylalanine, D8",1.12,7287669,0,2484534,0.9,molecules2
molecules2,170128_Smp_Pro9312_B,"L-Phenylalanine, D8",1.13,6752489,0,2331975,1.3,molecules2
molecules2,170128_Smp_Pro9312_C,"L-Phenylalanine, D8",1.13,6339558,84278,2227705,0.6,molecules2
molecules2,170128_Smp_Pro9313_A,"L-Phenylalanine, D8",1.12,7003668,0,2411214,1.1,molecules2
molecules2,170128_Smp_Pro9313_B,"L-Phenylalanine, D8",1.13,6840027,0,2259972,0.9,molecules2
molecules2,170128_Smp_Pro9313_C,"L-Phenylalanine, D8",1.13,6888636,73884,2424909,0.9,molecules2
molecules2,170128_Smp_Vesicle9312_1,"L-Phenylalanine, D8",1.11,5403265,0,1658797,1.3,molecules2
molecules2,170128_Smp_Vesicle9312_2,"L-Phenylalanine, D8",1.12,5055638,0,1610411,1.2,molecules2
molecules2,170128_Smp_Vesicle9312_3,"L-Phenylalanine, D8",1.11,5281479,57500,1645754,1.2,molecules2
molecules2,170128_Smp_Vesicle9313_1,"L-Phenylalanine, D8",1.12,5377187,64305,1707152,1.3,molecules2
molecules2,170128_Smp_Vesicle9313_2,"L-Phenylalanine, D8",1.11,5207311,43780,1685033,0.8,molecules2
molecules2,170128_Smp_Vesicle9313_3,"L-Phenylalanine, D8",1.12,5420643,0,1742781,1,molecules2
molecules2,170128_Blk_1a,"L-Phenylalanine, D8",1.12,4967190,37073,1499627,1.1,molecules2
molecules2,170128_Blk_2a,"L-Phenylalanine, D8",1.12,4490283,0,1498360,1.3,molecules2
molecules2,170128_Blk_3a,"L-Phenylalanine, D8",1.11,5386082,0,1731211,1.1,molecules2
molecules2,170128_Blk_4a,"L-Phenylalanine, D8",1.13,8233550,33640,2789784,1.2,molecules2
molecules2,170128_Blk_ProcessBlk_1,"L-Tryptophan, D3",1.94,4289298,7356,1206563,0.3,molecules2
molecules2,170128_Blk_ProcessBlk_2,"L-Tryptophan, D3",1.94,4047723,9929,1124870,0.2,molecules2
molecules2,170128_Blk_ProcessBlk_3,"L-Tryptophan, D3",1.94,3948776,28374,1153385,0.6,molecules2
molecules2,170128_Poo_Jan24_AqExtracts_FS_1,"L-Tryptophan, D3",1.94,3556833,0,990988,0.7,molecules2
molecules2,170128_Poo_Jan24_AqExtracts_FS_2,"L-Tryptophan, D3",1.94,3517888,0,997037,0.3,molecules2
molecules2,170128_Poo_Jan24_AqExtracts_FS_3,"L-Tryptophan, D3",1.94,3466121,0,960448,0.2,molecules2
molecules2,170128_Poo_Jan25_AqExtracts_FS_1,"L-Tryptophan, D3",1.93,2635646,0,763714,0.9,molecules2
molecules2,170128_Poo_Jan25_AqExtracts_FS_2,"L-Tryptophan, D3",1.93,2626745,0,745663,0.8,molecules2
molecules2,170128_Poo_Jan25_AqExtracts_FS_3,"L-Tryptophan, D3",1.93,2632344,0,787774,0.7,molecules2
molecules2,170128_Smp_Pro9312_A,"L-Tryptophan, D3",1.94,3761158,35043,1077138,0.4,molecules2
molecules2,170128_Smp_Pro9312_B,"L-Tryptophan, D3",1.94,3408632,0,966519,0.9,molecules2
molecules2,170128_Smp_Pro9312_C,"L-Tryptophan, D3",1.94,3664844,0,1061109,0.5,molecules2
molecules2,170128_Smp_Pro9313_A,"L-Tryptophan, D3",1.93,3475889,46424,987905,0.4,molecules2
molecules2,170128_Smp_Pro9313_B,"L-Tryptophan, D3",1.93,3457818,0,970677,0.4,molecules2
molecules2,170128_Smp_Pro9313_C,"L-Tryptophan, D3",1.94,3660375,0,999231,0.6,molecules2
molecules2,170128_Smp_Vesicle9312_1,"L-Tryptophan, D3",1.93,2834255,0,800211,1.1,molecules2
molecules2,170128_Smp_Vesicle9312_2,"L-Tryptophan, D3",1.93,2779435,0,791674,0.9,molecules2
molecules2,170128_Smp_Vesicle9312_3,"L-Tryptophan, D3",1.93,2867436,33838,852755,0.7,molecules2
molecules2,170128_Smp_Vesicle9313_1,"L-Tryptophan, D3",1.94,2778470,17455,818177,0.9,molecules2
molecules2,170128_Smp_Vesicle9313_2,"L-Tryptophan, D3",1.93,2662299,0,731570,0.9,molecules2
molecules2,170128_Smp_Vesicle9313_3,"L-Tryptophan, D3",1.93,2721048,0,745105,1,molecules2
molecules2,170128_Blk_1a,"L-Tryptophan, D3",1.93,2558553,0,750048,0.7,molecules2
molecules2,170128_Blk_2a,"L-Tryptophan, D3",1.93,1743063,0,482717,0.9,molecules2
molecules2,170128_Blk_3a,"L-Tryptophan, D3",1.93,2766045,0,791344,1.1,molecules2
molecules2,170128_Blk_4a,"L-Tryptophan, D3",1.94,3582431,31870,1018434,0.8,molecules2
molecules2,170128_Blk_ProcessBlk_1,"Tryptamine Hydrochloride, D4",2.38,18715978,275723,4763408,0.7,molecules2
molecules2,170128_Blk_ProcessBlk_2,"Tryptamine Hydrochloride, D4",2.38,18310932,95197,4645246,0.7,molecules2
molecules2,170128_Blk_ProcessBlk_3,"Tryptamine Hydrochloride, D4",2.37,18157066,226215,4590226,0.4,molecules2
molecules2,170128_Poo_Jan24_AqExtracts_FS_1,"Tryptamine Hydrochloride, D4",2.38,13675843,161924,3545959,0.5,molecules2
molecules2,170128_Poo_Jan24_AqExtracts_FS_2,"Tryptamine Hydrochloride, D4",2.38,13228603,0,3480770,0.6,molecules2
molecules2,170128_Poo_Jan24_AqExtracts_FS_3,"Tryptamine Hydrochloride, D4",2.38,12862571,167301,3293590,0.5,molecules2
molecules2,170128_Poo_Jan25_AqExtracts_FS_1,"Tryptamine Hydrochloride, D4",2.39,11447754,75344,3012901,0.8,molecules2
molecules2,170128_Poo_Jan25_AqExtracts_FS_2,"Tryptamine Hydrochloride, D4",2.38,11238520,167279,2943562,1,molecules2
